"model","scenario","region","variable","unit","version","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IIASA-WiC POP 2025","SSP3","World","Population|Female|Age 100+","million",1,0.497209,0.72268,0.8783350000000001,1.058798,1.257016,1.661602,2.103638,2.49926,2.975011,3.430383,3.896147,4.144619,4.781402,5.424164,5.848665,6.027958
"IIASA-WiC POP 2025","SSP3","World","Population|Female|Age 65-69","million",1,154.885433,173.505121,193.59488,205.128253,204.600076,225.772285,245.063353,243.189926,237.38894,243.36325,254.602073,265.946821,264.835586,250.621569,276.7821280000001,294.985309
"IIASA-WiC POP 2025","SSP3","World","Population|Female|Age 70-74","million",1,126.298491,140.225384,157.477054,176.128646,186.789278,186.106578,205.603164,223.524741,221.747807,216.069333,221.321325,231.591842,242.047154,240.96635,227.571891,251.408974
"IIASA-WiC POP 2025","SSP3","World","Population|Female|Age 75-79","million",1,85.735514,107.89628,120.027672,135.248544,151.752992,161.218622,160.464223,177.582315,193.4679,191.895158,186.530502,190.83456,199.783383,209.03831,208.065133,195.936882
"IIASA-WiC POP 2025","SSP3","World","Population|Female|Age 80-84","million",1,53.568113,66.433544,83.8449,93.613737,106.025696,119.485485,127.351062,126.791175,140.682627,153.724424,152.663033,148.049732,151.302496,158.637868,166.310853,165.592918
"IIASA-WiC POP 2025","SSP3","World","Population|Female|Age 85-89","million",1,31.754046,35.007068,43.915629,55.55535500000001,62.466498,71.334682,80.845167,86.748045,86.713116,96.651678,106.139431,105.984302,102.812483,105.1923,110.742316,116.557276
"IIASA-WiC POP 2025","SSP3","World","Population|Female|Age 90-94","million",1,13.661208,15.855902,17.840594,22.736342,28.824328,32.814045,37.924826,43.297676,47.029458,47.512679,53.39071,59.112644,59.837015,58.483716,60.22098,63.972476
"IIASA-WiC POP 2025","SSP3","World","Population|Female|Age 95-99","million",1,3.809305,4.501481,5.309457,6.136309000000001,7.968704,10.106355,11.72975,13.769834,15.834565,17.549434,18.131314,20.628512,23.104397,24.013846,23.950774,25.034171
"IIASA-WiC POP 2025","SSP3","World","Population|Male|Age 100+","million",1,0.126355,0.189448,0.234912,0.294981,0.362706,0.489767,0.625279,0.7615510000000001,0.9089510000000001,1.037238,1.184984,1.305318,1.532791,1.760444,1.945476,2.032018
"IIASA-WiC POP 2025","SSP3","World","Population|Male|Age 65-69","million",1,138.083747,156.432021,176.43627,188.61293,189.482485,210.397832,230.182205,231.085824,227.676549,233.833719,244.983487,255.854122,253.794541,238.559888,262.428965,279.37841
"IIASA-WiC POP 2025","SSP3","World","Population|Male|Age 70-74","million",1,105.499273,118.273452,134.571247,152.432347,163.40816,164.329682,182.956388,200.781237,201.921278,198.8178,204.12155,214.090643,223.924147,222.231594,208.64705,229.778017
"IIASA-WiC POP 2025","SSP3","World","Population|Male|Age 75-79","million",1,66.980243,83.55181,94.10052400000001,107.686492,122.606383,131.951027,132.878826,148.466785,163.616765,164.974526,162.271686,166.535339,174.960031,183.371805,182.132285,170.713888
"IIASA-WiC POP 2025","SSP3","World","Population|Male|Age 80-84","million",1,37.494282,46.888684,58.701415,66.598548,76.80496400000001,87.97530800000001,95.213279,96.207022,108.035844,119.75037,121.307039,119.283308,122.420754,128.958079,135.573558,134.880105
"IIASA-WiC POP 2025","SSP3","World","Population|Male|Age 85-89","million",1,18.512879,21.275614,26.998498,33.957466,38.96733800000001,45.392837,52.30788500000001,57.127683,58.191576,65.84666800000001,73.56122599999999,75.249508,74.196169,76.322457,80.818383,85.404306
"IIASA-WiC POP 2025","SSP3","World","Population|Male|Age 90-94","million",1,6.333493000000001,7.597362,8.917344,11.551253,14.604994,17.041201,20.079291,23.24561,25.730418,26.644826,30.473844,34.401727,35.825303,35.658959,36.952102,39.514814
"IIASA-WiC POP 2025","SSP3","World","Population|Male|Age 95-99","million",1,1.327483,1.618661,1.983305,2.390691,3.169446,4.022396000000001,4.799599000000001,5.719237000000001,6.610564999999999,7.456531,7.956825,9.227478,10.527156,11.285253,11.480248,12.080241
"IIASA-WiC POP 2025","SSP4","World","Population|Female|Age 100+","million",1,0.497209,0.753544,0.976877,1.273527,1.647532,2.388068,3.322943,4.3077,5.664377000000001,7.30336,9.107433,10.298054,12.945193,16.100088,18.120251,19.026331
"IIASA-WiC POP 2025","SSP4","World","Population|Female|Age 65-69","million",1,154.885433,173.930286,194.564718,206.605761,206.327021,228.055368,247.960481,246.125909,240.22375,246.424472,257.926038,269.465358,268.411255,253.776047,268.733274,281.66309
"IIASA-WiC POP 2025","SSP4","World","Population|Female|Age 70-74","million",1,126.298491,140.859044,158.838813,178.412322,189.836148,189.407433,209.772848,228.653058,226.807281,220.814871,226.353637,237.046176,247.829551,246.771411,232.572627,245.481095
"IIASA-WiC POP 2025","SSP4","World","Population|Female|Age 75-79","million",1,85.735514,108.73548,121.881197,138.293369,156.278245,166.864852,166.316313,184.770694,202.140579,200.301434,194.250037,198.915355,208.537519,218.35943,217.354388,203.789874
"IIASA-WiC POP 2025","SSP4","World","Population|Female|Age 80-84","million",1,53.568113,67.30338499999999,86.16655899999999,97.406609,111.613851,127.3196,136.79985,136.378518,152.28101,167.552672,165.983058,160.124052,163.825918,172.253747,180.900201,180.091459
"IIASA-WiC POP 2025","SSP4","World","Population|Female|Age 85-89","million",1,31.754046,35.772954,45.971409,59.633888,68.447315,79.75687699999999,92.35803299999999,100.486513,100.655272,113.423551,126.093804,125.348132,120.345836,123.34963,130.597221,137.983264
"IIASA-WiC POP 2025","SSP4","World","Population|Female|Age 90-94","million",1,13.661208,16.385665,19.155218,25.434293,33.622774,39.628957,47.470681,56.31203,62.762484,63.840954,73.228441,82.947996,83.665549,80.527799,83.240007,89.400578
"IIASA-WiC POP 2025","SSP4","World","Population|Female|Age 95-99","million",1,3.809305,4.694453999999999,5.853924,7.187486,9.956863,13.489921,16.585774,20.714509,25.485542,29.672712,31.357807,37.206211,43.669261,45.784011,45.098968,47.761903
"IIASA-WiC POP 2025","SSP4","World","Population|Male|Age 100+","million",1,0.126355,0.194855,0.255548,0.343615,0.456517,0.6693239999999999,0.923843,1.221272,1.600695,2.027916,2.533365,2.948837,3.772217,4.785406,5.609835,5.900499
"IIASA-WiC POP 2025","SSP4","World","Population|Male|Age 65-69","million",1,138.083747,157.072519,177.926969,190.925767,192.210107,214.06424,234.950134,236.012337,232.254281,238.851758,250.620407,262.029421,260.165457,244.149928,256.962508,268.879997
"IIASA-WiC POP 2025","SSP4","World","Population|Male|Age 70-74","million",1,105.499273,119.081369,136.383082,155.575489,167.707109,169.053951,189.05127,208.503423,209.757684,205.973039,211.842305,222.7099,233.34669,231.843946,216.93133,227.561743
"IIASA-WiC POP 2025","SSP4","World","Population|Male|Age 75-79","million",1,66.980243,84.44933400000001,96.15477899999999,111.216799,128.044857,138.934935,140.275878,157.787726,175.245366,176.68075,172.843334,177.800826,187.500898,197.082091,196.028523,182.538099
"IIASA-WiC POP 2025","SSP4","World","Population|Male|Age 80-84","million",1,37.494282,47.68174,60.786765,70.161668,82.299187,95.963592,105.174547,106.610381,120.998465,135.812562,137.511088,133.868279,137.855814,146.153922,154.439392,153.96552
"IIASA-WiC POP 2025","SSP4","World","Population|Male|Age 85-89","million",1,18.512879,21.820118,28.510126,36.93765,43.54481,52.135953,61.867302,68.975477,70.658074,81.39557,92.861818,95.03848500000001,92.189322,95.39562699999999,102.23981,109.054096
"IIASA-WiC POP 2025","SSP4","World","Population|Male|Age 90-94","million",1,6.333493000000001,7.861054,9.637888,13.081411,17.311982,21.070619,25.970008,31.552412,36.194617,37.996216,44.83615200000001,52.491022,55.05204000000001,53.690989,56.438193,61.72801200000001
"IIASA-WiC POP 2025","SSP4","World","Population|Male|Age 95-99","million",1,1.327483,1.681772,2.180621,2.801908,3.973192,5.380297,6.841706,8.743857,10.912257,13.076908,14.393903,17.643439,21.47101,23.652421,23.866923,25.945697
"IIASA-WiC POP 2025","SSP5","World","Population|Female|Age 100+","million",1,0.497209,0.797665,1.125651,1.634132,2.392633,3.962872,6.380542,9.481440000000001,14.226535,20.579944,27.706522,33.632806,44.078846,56.073277,64.317922,72.08223699999999
"IIASA-WiC POP 2025","SSP5","World","Population|Female|Age 65-69","million",1,154.885433,175.278967,197.785021,212.124794,214.400154,239.691408,263.409106,264.857342,263.179222,274.247063,291.163,307.67299,310.091533,298.302544,270.251593,255.736644
